Operating System,Processor Brand,Processor Name,RAM,RAM Type,SSD,SSD Capacity,Screen Resolution,Screen Size,Storage Type,Touchscreen,Type,Brand,Price
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,HP,"₹52,980"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,Intel,Core i3,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,DELL,"₹37,490"
Windows 11 Home,Intel,Core i3,8 GB,LPDDR4X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹58,750"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1366 x 768 pixel,35.56 cm (14 inch),SSD,No,Business Laptop,HP,"₹40,840"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹40,990"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1200 Pixel,40.64 cm (16 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹53,900"
Windows 11 Home,Intel,Core i3,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,HP,"₹34,990"
macOS Sequoia,Apple,M2,16 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹91,064"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,1 TB,1920 x 1200 pixel,35.56 cm (14 inch),SSD,No,Thin and Light Laptop,DELL,"₹59,740"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,Intel,Core i7,16 GB,DDR5,Yes,1 TB,2560 x 1600 Pixel,40.64 cm (16 Inch),SSD,No,Gaming Laptop,Acer,"₹1,39,990"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹81,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 X 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ZEBRONICS,"₹29,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,Lenovo,"₹79,999"
Windows 11 Pro,Intel,Core i3,16 GB,DDR4,Yes,512 GB,1366X768 pixel,39.62 cm (15.6 inch),SSD,No,Business Laptop,HP,"₹35,490"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,LPDDR4X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹69,690"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,AMD,Ryzen 3 Quad Core,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹36,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 pixel,35.81 cm (14.1 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹38,490"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
macOS Sonoma,Apple,M3,8 GB,Unified Memory,Yes,1 TB,3024 x 1964 Pixels,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Apple,"₹1,39,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1200 Pixel,40.64 cm (16 Inch),SSD,No,Gaming Laptop,ASUS,"₹67,990"
Windows 11 Home,Intel,Core i5,12 GB,DDR5,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 inch),SSD,No,Gaming Laptop,Lenovo,"₹58,990"
Windows 11 Home,Qualcomm,Snapdragon X Plus,16 GB,LPDDR5X,Yes,256 GB,2880 x 1920 Pixel,33.02 cm (13 Inch),SSD,Yes,2 in 1 Laptop,MICROSOFT,"₹1,13,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5,Yes,512 GB,1920 x 1200 Pixel,40.64 cm (16 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹57,990"
Chrome,MediaTek,MT8183,4 GB,LPDDR4X,No,,1366 x 768 Pixel,29.46 cm (11.6 Inch),eMMC,No,Chromebook,HP,"₹15,990"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,43.94 cm (17.3 Inch),SSD,No,Gaming Laptop,ASUS,"₹52,190"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
macOS Sequoia,Apple,M2,16 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹91,064"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,Colorful,"₹45,990"
Windows 11 Home,Intel,Core 5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹50,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5,Yes,512 GB,1920 x 1080 pixel,39.62 cm (15.6 inch),SSD,No,Laptop,Lenovo,"₹58,990"
macOS Sequoia,Apple,M2,16 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹91,064"
Windows 11 Home,Intel,Core 5,16 GB,LPDDR4X,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,SAMSUNG,"₹64,999"
Windows 11 Home,Intel,Core 5,16 GB,LPDDR4X,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,SAMSUNG,"₹64,999"
Windows 11 Home,AMD,Ryzen 5 Hexa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,38.86 cm (15.3 Inch),SSD,No,Gaming Laptop,HP,"₹57,990"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,ASUS,"₹99,900"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹44,990"
Windows 11 Home,Intel,Core Ultra 7,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Laptop,Lenovo,"₹84,990"
Windows 11 Home,Intel,Core Ultra 9,16 GB,LPDDR5X,Yes,1 TB,2880 x 1620 Pixels,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹1,19,990"
Windows 11 Home,AMD,Ryzen 3 Dual Core,8 GB,DDR4,Yes,512 GB,1366 x 768 pixel,35.56 cm (14 inch),SSD,No,Business Laptop,HP,"₹24,999"
Windows 11 Home,Intel,Core Ultra 5,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,MSI,"₹53,989"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,43.94 cm (17.3 Inch),SSD,No,Gaming Laptop,ASUS,"₹52,190"
Windows 11 Home,Intel,Celeron Quad Core,8 GB,LPDDR5,Yes,256 GB,1920 x 1080 pixel,35.81 cm (14.1 inch),SSD,No,Laptop,CHUWI,"₹17,990"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
Windows 11 Home,AMD,Ryzen 5 Dual Core,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,HP,"₹44,990"
Windows 11 Home,Intel,Core i7,16 GB,DDR4,Yes,512 GB,1920 x 1200 Pixel,40.64 cm (16 Inch),SSD,No,Gaming Laptop,ASUS,"₹77,990"
Windows 11 Home,AMD,Ryzen 3 Quad Core,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹31,990"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920x 1080 pixel,39.62 cm (15.6 inch),SSD,No,Laptop,DELL,"₹52,680"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹46,990"
macOS Sequoia,Apple,M4 Max,36 GB,Unified Memory,Yes,1 TB,3456 x 2234 Pixel,40.64 cm (16 Inch),SSD,No,Laptop,Apple,"₹3,24,990"
Windows 11 Home,Intel,Core 5,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹61,990"
Mac OS Big Sur,Apple,M1,8 GB,DDR4,Yes,256 GB,2560 x 1600 Pixel,33.78 cm (13.3 inch),SSD,No,Thin and Light Laptop,Apple,"₹94,990"
Mac OS Monterey,Apple,M2,8 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹81,949"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
Windows 11 Home,Intel,Core i3,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹33,990"
Windows 11 Home,AMD,Ryzen 5 Quad Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 pixel,39.62 cm (15.6 inch),SSD,No,Laptop,ASUS,"₹62,999"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Thomson,"₹27,990"
Windows 11 Home,Intel,Core i7,32 GB,DDR5,Yes,1 TB,2560 x 1600 Pixel,40.64 cm (16 Inch),SSD,No,Gaming Laptop,MSI,"₹1,69,990"
Windows 11 Home,Intel,Core i5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,700"
macOS Sonoma,Apple,M3,8 GB,Unified Memory,Yes,512 GB,3024 x 1964 Pixels,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Apple,"₹1,39,990"
Windows 11 Pro,Intel,Core i3,16 GB,DDR4,Yes,512 GB,1366 x 768 pixel,39.62 cm (15.6 inch),SSD,No,Business Laptop,DELL,"₹33,490"
Windows 11 Home,AMD,Ryzen 5 Quad Core,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixels,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹37,990"
macOS Sequoia,Apple,M2,16 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹91,064"
Windows 11 Home,Intel,Pentium Gold,8 GB,DDR4,Yes,256 GB,1920 x 1080 Pixels,39.62 cm (15.6 Inch),SSD,No,Laptop,ASUS,"₹25,990"
Windows 11 Pro,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 inch),SSD,No,Gaming Laptop,HP,"₹68,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5,Yes,512 GB,2880 x 1800 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹79,150"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹44,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹44,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹44,990"
macOS Sequoia,Apple,M2,16 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹91,064"
Windows 11 Home,AMD,Ryzen 5 Quad Core,16 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹45,990"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,LPDDR4X,Yes,1 TB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹53,990"
Windows 11 Home,Intel,Core i7,24 GB,DDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,Lenovo,"₹1,12,990"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹43,990"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹81,990"
Windows 11 Home,Intel,Celeron Dual Core,8 GB,DDR4,Yes,256 GB,1366 x 768 Pixel,29.46 cm (11.6 inch),SSD,No,Thin and Light Laptop,Acer,"₹17,990"
Windows 11 Home,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Yes,512 GB,1920 x 1080 pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹32,990"
Chrome,Intel,Celeron Dual Core,4 GB,LPDDR4,No,,1920 x 1080 Pixels,35.56 cm (14 Inch),eMMC,Yes,Chromebook,HP,"₹19,980"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Acer,"₹44,990"
